Comet ID,Club ID,Grade,Number of School Days Fall Semester,Math,English Reading,Conduct
1851942,TWH0023054,2nd,81,C,A,E
1853135,TWH0023055,2nd,81,N/A,N/A,N/A
1852537,TWH0023056,2nd,81,F,F,N
1849936,TWH0023057,2nd,81,D,C,N
1855338,TWH0023058,2nd,81,F,C,S
1851949,TWH0023059,2nd,81,N/A,N/A,N/A
1851946,TWH0023060,2nd,81,A,B,E
1845098,TWH0023061,2nd,81,B,B,N
1844829,TWH0023062,2nd,81,C,D,S
1840280,TWH0023063,2nd,81,C,C,E
1844920,TWH0023064,2nd,81,D,B,E
1847135,TWH0023065,2nd,81,B,C,S
1845659,TWH0023066,2nd,81,B,A,S
1845040,TWH0023067,2nd,81,A,A,E
1841486,TWH0023068,2nd,81,D,F,S
1846193,TWH0023069,3rd,81,D,F,S
1840279,TWH0023070,3rd,81,C,F,S
1845469,TWH0023071,3rd,81,F,D,S
1840420,TWH0023072,3rd,81,C,F,S
1852328,TWH0023073,3rd,81,F,F,S
1852442,TWH0023074,3rd,81,D,F,S
1850025,TWH0023075,3rd,81,C,F,S
1836870,TWH0023076,3rd,81,B,B,E
1838462,TWH0023077,3rd,81,C,F,S
1845143,TWH0023078,3rd,81,B,D,E
1845399,TWH0023079,3rd,81,A,D,S
1851969,TWH0023080,3rd,81,N/A,N/A,N/A
1841111,TWH0023081,3rd,81,C,F,S
1837008,TWH0023082,3rd,81,C,F,N
1847834,TWH0023083,3rd,81,C,F,S
1852445,TWH0023084,3rd,81,D,F,S
1844914,TWH0023085,3rd,81,B,F,S
1841752,TWH0023086,3rd,81,B,F,E
1847660,TWH0023087,3rd,81,C,F,S
1837110,TWH0023088,3rd,81,D,D,S
1848027,TWH0023089,3rd,81,F,B,E
1836853,TWH0023090,3rd,81,B,C,E
1836974,TWH0023091,3rd,81,A,F,S
1847131,TWH0023092,3rd,81,B,F,S
1836849,TWH0023093,3rd,81,D,D,S
1853979,TWH0023094,3rd,81,B,D,S
1841191,TWH0023095,3rd,81,A,B,E
1840443,TWH0023096,3rd,81,N/A,N/A,N/A
1854464,TWH0023097,3rd,81,F,F,S
1852443,TWH0023098,3rd,81,A,D,S
1853612,TWH0023099,3rd,81,B,D,S
1853612,TWH00230100,3rd,81,B,D,S
1845569,TWH00230101,3rd,81,C,F,E
1836850,TWH00230102,3rd,81,C,F,S
1853430,TWH00230103,3rd,81,B,D,S
1841137,TWH00230104,4th,81,B,B,N
1841114,TWH00230105,4th,81,D,D,S
1841471,TWH00230106,4th,81,F,C,E
1837985,TWH00230107,4th,81,B,C,S
1841625,TWH00230108,4th,81,C,B,S
1852624,TWH00230109,4th,81,B,A,E
1837599,TWH00230110,4th,81,N/A,N/A,N/A
1852128,TWH00230111,4th,81,A,A,E
1845468,TWH00230112,4th,81,N/A,N/A,N/A
1838240,TWH00230113,4th,81,C,C,N
1841483,TWH00230114,4th,81,N/A,N/A,N/A
1841054,TWH00230115,4th,81,B,C,S
1837108,TWH00230116,4th,81,A,B,E
1853139,TWH00230117,4th,81,A,B,E
1836854,TWH00230118,4th,81,F,C,S
1833809,TWH00230119,4th,81,B,C,E
1836982,TWH00230120,4th,81,B,C,E
1832422,TWH00230121,4th,81,C,D,E
1836852,TWH00230122,4th,81,A,A,E
1840292,TWH00230123,4th,81,N/A,N/A,N/A
1841202,TWH00230124,4th,81,F,B,E
1836948,TWH00230125,4th,81,C,B,E
1833804,TWH00230126,4th,81,N/A,N/A,N/A
1854040,TWH00230127,4th,81,F,B,S
1841130,TWH00230128,4th,81,B,B,E
1845582,TWH00230129,4th,81,F,D,S
1841942,TWH00230130,4th,81,D,D,S
1852444,TWH00230131,4th,81,D,B,E
1837909,TWH00230132,4th,81,B,B,E
1853471,TWH00230133,4th,81,D,B,S
1854075,TWH00230134,4th,81,D,D,E
1840932,TWH00230135,4th,81,C,B,N
1841190,TWH00230136,4th,81,A,A,S
1845398,TWH00230137,4th,81,N/A,N/A,N/A
1845400,TWH00230138,4th,81,B,D,E
1853431,TWH00230139,4th,81,C,B,S
1836956,TWH00230140,4th,81,F,B,E
1836956,TWH00230141,4th,81,F,B,E
1853432,TWH00230142,4th,81,B,A,S
1841128,TWH00230143,4th,81,D,C,S
1852989,TWH00230144,5th,81,A,B,E
1848460,TWH00230145,5th,81,F,D,E
1837986,TWH00230146,5th,81,B,A,E
1844918,TWH00230147,5th,81,F,F,S
1852033,TWH00230148,5th,81,N/A,N/A,N/A
1854041,TWH00230149,5th,81,B,F,E
1844915,TWH00230150,5th,81,D,F,S
1854077,TWH00230151,5th,81,F,F,S
1854883,TWH00230152,5th,81,C,B,E
1853474,TWH00230153,5th,81,B,D,E
1852781,TWH00230154,5th,81,D,F,S
1853611,TWH00230155,5th,81,F,F,N
1845621,TWH00230156,5th,81,B,B,E
1852446,TWH00230157,5th,81,F,F,S
1826186,TWH00230158,5th,81,B,C,E
1827310,TWH00230159,5th,81,A,B,E
1831824,TWH00230160,5th,81,A,A,E
1852127,TWH00230161,5th,81,B,D,E
1845038,TWH00230162,5th,81,D,F,S
1847134,TWH00230163,5th,81,B,D,E
1831828,TWH00230164,5th,81,B,B,E
1832421,TWH00230165,5th,81,B,F,S
1853470,TWH00230166,5th,81,B,C,E
1852778,TWH00230167,5th,81,N/A,N/A,N/A
1853992,TWH00230168,5th,81,N/A,N/A,N/A
