Comet ID ,Club ID,Grade,Number of School Days Fall Semester ,Math ,English Reading ,Conduct 
1837485,WV0023148,5th,81,C,B,S
1840401,WV0023149,5th,81,F,C,S
1848003,WV0023150,5th,81,B,C,E
1846559,WV0023151,5th,81,B,C,S
1837085,WV0023152,5th,81,B,B,S
1852379,WV0023153,5th,81,F,B,S
1845466,WV0023154,5th,81,C,B,S
1836969,WV0023155,5th,81,A,A,E
1839037,WV0023156,5th,81,C,B,E
1845389,WV0023157,5th,81,B,A,S
1840632,WV0023158,5th,81,B,A,E
1845459,WV0023159,5th,81,F,C,S
1852336,WV0023160,5th,81,B,B,S
1845516,WV0023161,5th,81,B,B,E
1852885,WV0023162,5th,81,C,A,E
1837069,WV0023163,5th,81,B,A,S
1837960,WV0023164,5th,81,B,A,E
1845590,WV0023165,5th,81,A,B,S
1833304,WV0023166,5th,81,C,C,S
1838082,WV0023167,5th,81,C,A,S
1846430,WV0023168,5th,81,C,B,E
1838536,WV0023169,5th,81,A,A,S
1837624,WV0023170,5th,81,B,B,S
1851910,WV0023171,5th,81,F,C,E
1845368,WV0023172,5th,81,F,B,S
1837063,WV0023173,5th,81,A,B,E
1838178,WV0023174,5th,81,A,A,E
1851992,WV0023175,5th,81,B,B,S
1840553,WV0023176,5th,81,C,B,S
1847363,WV0023177,5th,81,A,A,E
1841068,WV0023178,5th,81,B,B,S
1840318,WV0023179,5th,81,B,A,S
1846429,WV0023180,5th,81,F,B,S
1852385,WV0023181,5th,81,F,D,E
1840361,WV0023182,5th,81,A,A,E
1854300,WV0023183,5th,81,B,A,E
1837115,WV0023184,5th,81,B,A,S
1840775,WV0023185,5th,81,C,A,E
1855309,WV0023186,5th,81,C,B,E
