Host Site Name,Member ID,Grade,Ace Days Attended,School Days Enrolled,School Days Absent,Criminal Referrals,Non Criminal Referrals,School Day Classes,School Day Classes Passed,Reading Grade,Math Grade,Science Grade,Social Studies Grade
Spring Branch Elementary,1830641,4th,103,94,6,0,0,7,7,B,B,B,A
Spring Branch Elementary,1840356,4th,54,94,8,0,0,7,5,D,F,D,D
Spring Branch Elementary,1837463,4th,50,94,21,0,0,7,7,C,D,D,C
Spring Branch Elementary,1841089,4th,8,94,28,0,0,7,7,C,C,D,B
Spring Branch Elementary,1840834,4th,50,94,17,0,0,7,6,D,C,C,A
Spring Branch Elementary,1835126,4th,93,94,8,0,0,7,7,B,C,C,A
Spring Branch Elementary,1841299,4th,46,94,2,0,0,7,7,D,D,C,B
Spring Branch Elementary,1826696,4th,52,94,3,0,0,7,7,C,C,C,C
Spring Branch Elementary,1837432,4th,52,94,5,0,0,7,5,F,F,D,C
Spring Branch Elementary,1826803,4th,46,94,0,0,0,7,7,C,C,C,B
Spring Branch Elementary,1831258,4th,55,94,0,0,0,0,0,,,,
Spring Branch Elementary,1837436,4th,95,94,22,0,0,7,7,A,B,C,B
Spring Branch Elementary,1826823,4th,55,94,2,0,0,7,7,C,C,D,C
Spring Branch Elementary,1837439,4th,38,94,0,0,0,7,7,B,B,A,B
Spring Branch Elementary,1840428,4th,51,94,3,0,0,7,7,B,B,C,B
Spring Branch Elementary,1831981,4th,50,94,25,0,0,7,6,C,F,C,B
Spring Branch Elementary,1832677,5th,50,94,4,0,0,7,7,C,B,C,B
Spring Branch Elementary,1826852,5th,2,94,0,0,0,0,0,,,,
Spring Branch Elementary,1832992,5th,48,94,15,0,0,7,7,C,B,B,B
Spring Branch Elementary,1839715,5th,4,94,16,0,0,7,7,C,C,C,C
Spring Branch Elementary,1827345,5th,49,94,0,0,0,0,0,,,,
Spring Branch Elementary,1832882,5th,138,94,0,0,0,7,7,C,B,B,B
Spring Branch Elementary,1841092,5th,10,94,10,0,0,7,6,C,F,B,B
Spring Branch Elementary,1822126,5th,10,94,1,0,0,7,7,D,B,C,B
Spring Branch Elementary,1826793,5th,116,94,24,0,0,7,7,B,A,B,B
Spring Branch Elementary,1827480,5th,50,94,1,0,0,7,6,D,B,C,C
Spring Branch Elementary,1837496,5th,128,94,10,0,0,7,7,D,B,B,C
Spring Branch Elementary,1827355,5th,142,94,3,0,0,7,7,B,B,A,A
Spring Branch Elementary,1839734,5th,51,94,0,0,0,7,7,C,B,C,B
Spring Branch Elementary,1839719,5th,10,94,12,0,0,7,6,D,D,D,C
Spring Branch Elementary,1826688,5th,51,94,13,0,0,7,7,B,B,B,B
Spring Branch Elementary,1841166,5th,47,94,9,0,0,7,7,B,A,B,A
Spring Branch Elementary,1832885,5th,48,94,0,0,0,7,5,D,C,F,D
Spring Branch Elementary,1826652,5th,48,94,1,0,0,7,7,D,D,C,C
Spring Branch Elementary,1835128,5th,79,94,11,0,0,7,7,B,B,B,B
Spring Branch Elementary,1835150,5th,81,94,10,0,0,7,7,C,B,C,C
Spring Branch Elementary,1831259,5th,56,94,0,0,0,0,0,,,,
Spring Branch Elementary,1831257,5th,55,94,0,0,0,0,0,,,,
Spring Branch Elementary,1832676,5th,3,94,13,0,0,7,7,D,D,C,B
Spring Branch Elementary,1837510,5th,49,94,28,0,0,7,4,D,D,F,F
Spring Branch Elementary,1841106,Kindergarten,6,94,0,0,0,0,0,,,,
Spring Branch Elementary,1827198,Kindergarten,5,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841121,Kindergarten,49,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841117,Kindergarten,1,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841098,Kindergarten,54,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841107,Kindergarten,51,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841536,Kindergarten,2,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841062,Kindergarten,8,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841063,Kindergarten,4,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841064,Kindergarten,54,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841065,Kindergarten,53,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841212,Kindergarten,46,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841108,Kindergarten,53,94,0,0,0,0,0,,,,
