HostSiteName,Member ID,Grade,ACE Days Attended,SchoolDaysEnrolled,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,StudentOverallGrades,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade
Spring Oaks Middle,1840442,7th,4,94,0,0,0,7,Mostly C's and D's,F,C,D,C
Spring Oaks Middle,1840322,6th,12,94,0,0,0,7,Mostly A's and B's,C,A,A,A
Spring Oaks Middle,1838991,6th,5,94,0,0,0,7,Mostly A's and B's,A,A,B,C
Spring Oaks Middle,1837796,7th,11,94,0,0,0,7,Mostly B's and C's,B,B,B,C
Spring Oaks Middle,1838309,6th,1,94,0,0,0,7,Mostly C's and D's,D,A,D,D
Spring Oaks Middle,1840537,8th,114,94,0,0,0,7,Mostly B's and C's,C,B,C,B
Spring Oaks Middle,1840323,6th,57,94,0,0,0,7,Mostly A's and B's,D,A,A,A
Spring Oaks Middle,1826992,7th,9,94,0,0,0,7,Mostly A's and B's,A,A,A,B
Spring Oaks Middle,117830,7th,2,94,0,0,0,7,C's,A,C,F,B
Spring Oaks Middle,117831,6th,2,94,0,0,0,7,C's,B,C,D,C
Spring Oaks Middle,1842181,7th,85,94,0,0,0,7,Mostly B's and C's,B,C,C,B
Spring Oaks Middle,1833052,7th,6,94,0,0,0,7,Mostly A's and B's,A,A,B,B
Spring Oaks Middle,1841935,8th,2,94,0,0,0,7,C's,F,C,B,B
Spring Oaks Middle,1837917,6th,6,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1837803,7th,1,94,0,0,0,7,C's,D,B,C,C
Spring Oaks Middle,1838604,6th,132,94,0,0,0,7,Mostly B's and C's,C,C,B,A
Spring Oaks Middle,1832472,7th,145,94,0,0,0,7,Mostly B's and C's,C,D,B,B
Spring Oaks Middle,1840813,6th,59,94,0,0,0,7,B's,A,B,C,A
Spring Oaks Middle,1840448,8th,74,94,0,0,0,7,Mostly C's and D's,D,C,C,C
Spring Oaks Middle,1840334,7th,90,94,0,0,0,7,Mostly C's and D's,F,C,C,C
Spring Oaks Middle,1838269,7th,3,94,0,0,0,7,Mostly D's and F's,D,D,F,B
Spring Oaks Middle,1827543,7th,37,94,0,0,0,7,Mostly B's and C's,F,A,B,A
Spring Oaks Middle,1826944,6th,84,94,0,0,0,7,Mostly A's and B's,B,A,B,B
Spring Oaks Middle,1840691,7th,1,94,0,0,0,7,Mostly A's and B's,C,A,B,A
Spring Oaks Middle,1840624,6th,71,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1840749,6th,2,94,0,0,0,7,Mostly A's and B's,A,C,B,A
Spring Oaks Middle,1827290,6th,5,94,0,0,0,7,B's,F,A,A,A
Spring Oaks Middle,1823804,6th,1,94,0,0,0,7,Mostly B's and C's,A,C,C,D
Spring Oaks Middle,1840440,6th,40,94,0,0,0,7,Mostly A's and B's,B,A,B,B
Spring Oaks Middle,1838435,6th,17,94,0,0,0,7,Mostly A's and B's,A,A,B,A
Spring Oaks Middle,1840588,6th,25,94,0,0,0,7,Mostly A's and B's,B,B,B,A
Spring Oaks Middle,1838262,6th,144,94,0,0,0,7,Mostly B's and C's,A,C,C,D
Spring Oaks Middle,1837583,8th,26,94,0,0,0,7,C's,C,C,C,C
Spring Oaks Middle,1826949,6th,1,94,0,0,0,7,Mostly B's and C's,C,A,C,C
Spring Oaks Middle,1840441,7th,1,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1827293,6th,97,94,0,0,0,7,,F,F,B,D
Spring Oaks Middle,1837499,6th,99,94,0,0,0,7,,F,F,C,C
Spring Oaks Middle,1837497,7th,1,94,0,0,0,7,F's,F,F,F,F
Spring Oaks Middle,1840970,6th,104,94,0,0,0,7,,D,D,B,B
Spring Oaks Middle,1837952,6th,20,94,0,0,0,7,Mostly A's and B's,B,B,B,A
Spring Oaks Middle,1837311,6th,20,94,0,0,0,7,F's,F,Pass,F,D
Spring Oaks Middle,1838312,6th,88,94,0,0,0,7,,,,,
Spring Oaks Middle,1838312,7th,1,94,0,0,0,7,D's,F,D,D,D
Spring Oaks Middle,1840693,6th,108,94,0,0,0,7,Mostly A's and B's,B,B,A,A
Spring Oaks Middle,1839063,7th,98,94,0,0,0,7,B's,B,D,B,B
Spring Oaks Middle,1838957,7th,81,94,0,0,0,7,Mostly D's and F's,F,F,D,A
Spring Oaks Middle,1838494,6th,104,94,0,0,0,7,F's,B,C,F,F
Spring Oaks Middle,1840800,7th,4,94,0,0,0,7,Mostly A's and B's,A,B,B,A
Spring Oaks Middle,1839026,6th,75,94,0,0,0,7,Mostly A's and B's,B,A,B,A
Spring Oaks Middle,1840696,7th,105,94,0,0,0,7,Mostly A's and B's,A,B,B,B
Spring Oaks Middle,1840623,6th,3,94,0,0,0,7,,,,,
Spring Oaks Middle,1838598,6th,123,94,0,0,0,7,A's,A,A,D,B
Spring Oaks Middle,1841135,6th,2,94,0,0,0,7,Mostly A's and B's,B,B,A,A
Spring Oaks Middle,1838638,6th,7,94,0,0,0,7,F's,F,D,F,B
Spring Oaks Middle,"	1833659",8th,4,94,0,0,0,7,C's,F,C,C,C
Spring Oaks Middle,1840718,6th,6,94,0,0,0,7,D's,B,D,D,A
Spring Oaks Middle,1840690,7th,3,94,0,0,0,7,Mostly A's and B's,A,B,B,A
Spring Oaks Middle,1832985,8th,6,94,0,0,0,7,,F,D,A,B
Spring Oaks Middle,1840476,6th,1,94,0,0,0,7,D's,D,Pass,D,B
Spring Oaks Middle,1841193,6th,113,94,0,0,0,7,B's,A,B,C,B
Spring Oaks Middle,1837483,6th,1,94,0,0,0,7,,B,A,D,A
Spring Oaks Middle,1837420,6th,89,94,0,0,0,7,F's,B,Pass,F,F
Spring Oaks Middle,1840408,6th,126,94,0,0,0,7,Mostly A's and B's,B,B,A,A
Spring Oaks Middle,1840325,7th,3,94,0,0,0,7,Mostly A's and B's,B,A,A,B
Spring Oaks Middle,1837787,7th,95,94,0,0,0,7,,F,D,A,B
Spring Oaks Middle,1840421,7th,117,94,0,0,0,7,,A,D,F,B
Spring Oaks Middle,1838905,6th,127,94,0,0,0,7,Mostly A's and B's,A,B,B,A
Spring Oaks Middle,1840446,7th,92,94,0,0,0,7,,D,B,D,C
Spring Oaks Middle,1840611,8th,102,94,0,0,0,7,,F,F,B,B
Spring Oaks Middle,1838225,7th,73,94,0,0,0,7,F's,F,C,B,F
Spring Oaks Middle,1840606,6th,43,94,0,0,0,7,Mostly A's and B's,C,B,A,B
Spring Oaks Middle,1840587,6th,6,94,0,0,0,7,Mostly A's and B's,A,A,B,B
Spring Oaks Middle,1831273,8th,6,94,0,0,0,7,Mostly A's and B's,F,F,B,A
Spring Oaks Middle,1837303,6th,126,94,0,0,0,7,D's,A,D,D,C
Spring Oaks Middle,1840591,6th,53,94,0,0,0,7,F's,F,Pass,F,C
Spring Oaks Middle,1826225,6th,9,94,0,0,0,7,F's,F,B,F,C
Spring Oaks Middle,1837566,6th,41,94,0,0,0,7,,,,,
Spring Oaks Middle,1838401,7th,112,94,0,0,0,7,F's,B,F,C,F
Spring Oaks Middle,1837776,6th,49,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,,7th,66,94,0,0,0,7,,B,A,F,D
Spring Oaks Middle,1841497,6th,12,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1838308,7th,1,94,0,0,0,7,Mostly C's and D's,D,C,C,D
Spring Oaks Middle,1832957,7th,97,94,0,0,0,7,A's,F,B,A,A
Spring Oaks Middle,,6th,48,94,0,0,0,7,,,,,
Spring Oaks Middle,,8th,2,94,0,0,0,7,,,,,
Spring Oaks Middle,1837503,7th,1,94,0,0,0,7,B's,A,B,B,B
Spring Oaks Middle,1827098,7th,1,94,0,0,0,7,F's,F,Pass,F,D
Spring Oaks Middle,1830489,6th,122,94,0,0,0,7,F's,Not Available,F,F,F
Spring Oaks Middle,114426,7th,57,94,0,0,0,7,Mostly A's and B's,B,B,A,B
Spring Oaks Middle,1830586,6th,53,94,0,0,0,7,A's,B,A,A,A
Spring Oaks Middle,1839124,6th,6,94,0,0,0,7,A's,B,A,A,A
Spring Oaks Middle,1839285,6th,2,94,0,0,0,7,A's,C,A,B,A
Spring Oaks Middle,1838554,7th,68,94,0,0,0,7,B's,B,C,D,B
Spring Oaks Middle,1840799,6th,125,94,0,0,0,7,A's,B,A,A,A
Spring Oaks Middle,,7th,3,94,0,0,0,7,B's,D,F,B,B
Spring Oaks Middle,1840610,8th,2,94,0,0,0,7,,F,A,D,B
Spring Oaks Middle,1840586,7th,11,94,0,0,0,7,D's,D,C,B,D
Spring Oaks Middle,1830655,7th,2,94,0,0,0,7,F's,F,F,A,B
Spring Oaks Middle,123450,8th,2,94,0,0,0,7,C's,C,D,C,B
Spring Oaks Middle,123448,7th,39,94,0,0,0,7,B's,C,D,B,B
Spring Oaks Middle,1822934,7th,45,94,0,0,0,7,B's,A,D,B,B
Spring Oaks Middle,1838273,8th,110,94,0,0,0,7,B's,A,D,B,B
Spring Oaks Middle,1840423,8th,120,94,0,0,0,7,,F,A,A,F
Spring Oaks Middle,1838774,7th,74,94,0,0,0,7,F's,F,F,B,A
Spring Oaks Middle,1838906,6th,98,94,0,0,0,7,A's,A,B,D,A
Spring Oaks Middle,1840324,8th,2,94,0,0,0,7,F's,F,B,F,C
Spring Oaks Middle,1840364,8th,1,94,0,0,0,7,Mostly A's and B's,C,B,A,A
Spring Oaks Middle,1840525,7th,34,94,0,0,0,7,A's,C,B,A,A
Spring Oaks Middle,1838761,7th,3,94,0,0,0,7,A's,A,A,A,A
Spring Oaks Middle,1841100,6th,3,94,0,0,0,7,Mostly A's and B's,B,A,B,A
Spring Oaks Middle,1838461,6th,135,94,0,0,0,7,B's,C,B,B,B
Spring Oaks Middle,1838768,7th,18,94,0,0,0,7,Mostly B's and C's,A,C,C,B
Spring Oaks Middle,1840714,8th,2,94,0,0,0,7,F's,F,F,C,F
Spring Oaks Middle,1825179,7th,46,94,0,0,0,7,A's,F,A,A,A
Spring Oaks Middle,1837804,6th,1,94,0,0,0,7,Mostly A's and B's,B,A,B,A
Spring Oaks Middle,,7th,134,94,0,0,0,7,Mostly A's and B's,B,A,B,A
Spring Oaks Middle,1840396,8th,1,94,0,0,0,7,Mostly B's and C's,F,F,C,A
Spring Oaks Middle,1840719,6th,46,94,0,0,0,7,Mostly A's and B's,B,A,B,A
Spring Oaks Middle,1840424,7th,6,94,0,0,0,7,,,,,
Spring Oaks Middle,1837301,7th,105,94,0,0,0,7,F's,F,Pass,A,F
Spring Oaks Middle,1832122,7th,42,94,0,0,0,7,Mostly A's and B's,C,A,B,B
Spring Oaks Middle,1838267,7th,88,94,0,0,0,7,,,,,
Spring Oaks Middle,1837317,7th,108,94,0,0,0,7,C's,F,Pass,A,C
,,,111,,,,,,,,,,
,,,1,,,,,,,,,,
,,,27,,,,,,,,,,
,,,5,,,,,,,,,,
,,,116,,,,,,,,,,
,,,4,,,,,,,,,,
,,,1,,,,,,,,,,
,,,10,,,,,,,,,,
,,,1,,,,,,,,,,
,,,135,,,,,,,,,,
,,,1,,,,,,,,,,
,,,2,,,,,,,,,,
,,,133,,,,,,,,,,
,,,30,,,,,,,,,,
,,,2,,,,,,,,,,
,,,1,,,,,,,,,,
,,,74,,,,,,,,,,
,,,12,,,,,,,,,,
,,,1,,,,,,,,,,
,,,6,,,,,,,,,,
,,,54,,,,,,,,,,
,,,62,,,,,,,,,,
,,,1,,,,,,,,,,
,,,85,,,,,,,,,,
,,,10,,,,,,,,,,
,,,94,,,,,,,,,,
,,,77,,,,,,,,,,
,,,9,,,,,,,,,,
,,,23,,,,,,,,,,
,,,1,,,,,,,,,,
,,,130,,,,,,,,,,
,,,1,,,,,,,,,,
,,,97,,,,,,,,,,
,,,4,,,,,,,,,,
,,,14,,,,,,,,,,
,,,1,,,,,,,,,,
,,,27,,,,,,,,,,
,,,46,,,,,,,,,,
,,,36,,,,,,,,,,
,,,1,,,,,,,,,,
,,,2,,,,,,,,,,
,,,5,,,,,,,,,,
,,,2,,,,,,,,,,
,,,3,,,,,,,,,,
,,,1,,,,,,,,,,
,,,87,,,,,,,,,,
,,,70,,,,,,,,,,
,,,46,,,,,,,,,,
,,,24,,,,,,,,,,
,,,22,,,,,,,,,,
,,,55,,,,,,,,,,
,,,1,,,,,,,,,,
,,,1,,,,,,,,,,
,,,94,,,,,,,,,,
,,,1,,,,,,,,,,
,,,6,,,,,,,,,,
,,,31,,,,,,,,,,
,,,40,,,,,,,,,,
,,,1,,,,,,,,,,
,,,9,,,,,,,,,,
,,,1,,,,,,,,,,
,,,1,,,,,,,,,,
,,,13,,,,,,,,,,
,,,127,,,,,,,,,,
,,,106,,,,,,,,,,
,,,36,,,,,,,,,,
,,,91,,,,,,,,,,
,,,27,,,,,,,,,,
,,,85,,,,,,,,,,
,,,1,,,,,,,,,,
,,,36,,,,,,,,,,
,,,36,,,,,,,,,,
,,,1,,,,,,,,,,
,,,105,,,,,,,,,,
,,,29,,,,,,,,,,
,,,1,,,,,,,,,,
,,,1,,,,,,,,,,
,,,23,,,,,,,,,,
,,,15,,,,,,,,,,
,,,2,,,,,,,,,,
,,,15,,,,,,,,,,
,,,84,,,,,,,,,,
,,,,,,,,,,,,,
,,,10,,,,,,,,,,
,,,110,,,,,,,,,,
,,,1,,,,,,,,,,
,,,14,,,,,,,,,,
,,,51,,,,,,,,,,
,,,125,,,,,,,,,,
,,,2,,,,,,,,,,
,,,3,,,,,,,,,,
,,,133,,,,,,,,,,
,,,35,,,,,,,,,,
,,,1,,,,,,,,,,
,,,80,,,,,,,,,,
,,,85,,,,,,,,,,
,,,2,,,,,,,,,,
,,,71,,,,,,,,,,
,,,1,,,,,,,,,,
,,,6,,,,,,,,,,
,,,53,,,,,,,,,,
,,,4,,,,,,,,,,
,,,109,,,,,,,,,,
,,,38,,,,,,,,,,
,,,27,,,,,,,,,,
,,,3,,,,,,,,,,
,,,10,,,,,,,,,,
,,,55,,,,,,,,,,
,,,1,,,,,,,,,,
,,,124,,,,,,,,,,
,,,1,,,,,,,,,,
,,,98,,,,,,,,,,
